case_id,language,query,jurisdiction,answer,citations,citation_evidence,faithfulness_1_5,answer_relevance_1_5,citation_completeness_1_5,language_quality_1_5,reviewer_notes
m7-043,en,Which groups are mentioned as eligible for the Golden Visa?,Federal,"According to UAE Government Portal, investors, entrepreneurs, scientists, outstanding students and graduates, humanitarian pioneers and frontline heroes are among those eligible for the Golden visa. [S1]",https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/golden-visa,"S1 | source_id=federal_golden_visa_en | authority=UAE Government Portal | title=Golden visa | The Official Platform of the UAE Government
excerpt: …is a long-term residence visa which enables foreign talents to live, work or study in the UAE while enjoying exclusive benefits. Investors, entrepreneurs, scientists, outstanding students and graduates, humanitarian pioneers and frontline heroes are among those eligible for the Golden visa. Read about the requirements and…
url: https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/golden-visa",5,5,5,5,5
m7-048,en,Which groups are mentioned as eligible for the Golden Visa? Please use the official indexed source.,Federal,"According to UAE Government Portal, investors, entrepreneurs, scientists, outstanding students and graduates, humanitarian pioneers and frontline heroes are among those eligible for the Golden visa. [S1]",https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/golden-visa,"S1 | source_id=federal_golden_visa_en | authority=UAE Government Portal | title=Golden visa | The Official Platform of the UAE Government
excerpt: …is a long-term residence visa which enables foreign talents to live, work or study in the UAE while enjoying exclusive benefits. Investors, entrepreneurs, scientists, outstanding students and graduates, humanitarian pioneers and frontline heroes are among those eligible for the Golden visa. Read about the requirements and…
url: https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/golden-visa",5,5,5,5,5
m7-053,en,Which UAE government source explains student residence visas?,Federal,"According to UAE Government Portal, the relevant official page is “Residence visa for studying in the UAE”. Student visa A student can stay in the UAE for studying, either under the sponsorship of his/her parent, who should be a resident of… [S2]",https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/residence-visa-for-studying-in-the-uae,"S2 | source_id=federal_student_residence_en | authority=UAE Government Portal | title=Residence visa for studying in the UAE | The Official Platform of the UAE Government
excerpt: Life in the UAE Visa and Emirates ID Types of visas Student visa Student visa A student can stay in the UAE for studying, either under the sponsorship of his/her parent, who should be a resident of the UAE or under the sponsorship of the accredited university/college he/she is studying at. At the same time, Golden visa is issued to outstanding students.
url: https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/residence-visa-for-studying-in-the-uae",5,5,5,5,5
m7-058,en,Which UAE government source explains student residence visas? Please use the official indexed source.,Federal,"According to UAE Government Portal, the relevant official page is “Residence visa for studying in the UAE”. Student visa A student can stay in the UAE for studying, either under the sponsorship of his/her parent, who should be a resident of… [S3]",https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/residence-visa-for-studying-in-the-uae,"S3 | source_id=federal_student_residence_en | authority=UAE Government Portal | title=Residence visa for studying in the UAE | The Official Platform of the UAE Government
excerpt: Life in the UAE Visa and Emirates ID Types of visas Student visa Student visa A student can stay in the UAE for studying, either under the sponsorship of his/her parent, who should be a resident of the UAE or under the sponsorship of the accredited university/college he/she is studying at. At the same time, Golden visa is issued to outstanding students.
url: https://u.ae/en/information-and-services/visa-and-emirates-id/residence-visas/residence-visa-for-studying-in-the-uae",5,5,5,5,5
m7-004,en,Explain the Dubai driving licence renewal process.,Dubai,"According to Roads and Transport Authority, click Renewing a Driving Licence on the smart application. [S1] select Renewing a Driving Licence from Drivers Licensing Services list. [S2]",https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=618; https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=618,"S1 | source_id=dubai_driving_licence_renew_en | authority=Roads and Transport Authority | title=Service Details - Roads & Transport Authority
excerpt: through the selected delivery method. Service Time Instantly Channels RTA Dubai Steps Take an eye test at one of the Eye Test Centres. Click Renewing a Driving Licence on the smart application. Scan the QR code from the Driving Licence, or enter the following details: Driving…
url: https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=618

S2 | source_id=dubai_driving_licence_renew_en | authority=Roads and Transport Authority | title=Service Details - Roads & Transport Authority
excerpt: …passport, or UAE Pass. Enter the OTP sent to your registered phone number. Select Renewing a Driving Licence from Drivers Licensing Services list. Confirm your Driving Licence details before its issuance. Select the delivery method (electronic licence through the RTA Dubai App wallet, Self Service Machines,…
url: https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=618",5,5,5,5,5
m7-011,en,How do I renew vehicle ownership in Dubai?,Dubai,"According to Roads and Transport Authority, steps Log in using your username and password, UAE Pass, or the details of your Emirates ID, Driving Licence, or plate number. [S1] renew and Amend Vehicle Data Ownership Start Now Renew the ownership of the vehicle registered in Dubai, with or without changing the plate number, amend the data of the ownership issued in Dubai, or replace a lost/damaged certificate. [S1] select Renew and Amend Vehicle Data Ownership from Vehicle Licensing Services . [S1]",https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=582,"S1 | source_id=dubai_vehicle_ownership_renew_en | authority=Roads and Transport Authority | title=Service Details - Roads & Transport Authority
excerpt: Company Trusted agent Don't have an account? Create an account Search.. RTA services Web results Home RTA Services Service Details {} Renew and Amend Vehicle Data Ownership Start Now Renew the ownership of the vehicle registered in Dubai, with or without changing the plate number, amend…
url: https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=582",5,5,5,5,5
m7-017,en,Which RTA service renews vehicle ownership in Dubai? Please use the official indexed source.,Dubai,"According to Roads and Transport Authority, the Renew and Amend Vehicle Data Ownership service covers renewing ownership of vehicles registered in Dubai. [S1]",https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=582,"S1 | source_id=dubai_vehicle_ownership_renew_en | authority=Roads and Transport Authority | title=Service Details - Roads & Transport Authority
excerpt: Company Trusted agent Don't have an account? Create an account Search.. RTA services Web results Home RTA Services Service Details {} Renew and Amend Vehicle Data Ownership Start Now Renew the ownership of the vehicle registered in Dubai, with or without changing the plate number, amend…
url: https://www.rta.ae/wps/portal/rta/ae/home/rta-services/service-details?serviceId=582",5,5,5,5,5
m7-024,en,Which portal provides Abu Dhabi driver licensing services?,Abu Dhabi,"According to Abu Dhabi Mobility / Integrated Transport Centre, Driver Licensing Services include issuing and renewing driving licences, with digital transactions available through the TAMM portal. [S1]",https://admobility.gov.ae/en/driver-licensing-services,"S1 | source_id=abu_dhabi_driver_licensing_en | authority=Abu Dhabi Mobility / Integrated Transport Centre | title=Driver and Vehicle Licensing Services
excerpt: …to drive, such as rescheduling driving test appointments and renewing learning permits. All services are available through the ""TAMM"" portal in a secure and user-friendly digital format, eliminating the need to visit service centres. Quick Links Darb Toll Gate Asateel TAMM FAQs Abu Dhabi Residents Office…
url: https://admobility.gov.ae/en/driver-licensing-services",5,5,5,5,5
m7-031,en,Which Abu Dhabi service handles vehicle registration renewal?,Abu Dhabi,"According to Abu Dhabi Mobility / Integrated Transport Centre, Vehicle Licensing Services cover issuing, renewing, registering and transferring vehicle ownership, with digital transactions available through the TAMM portal. [S1]",https://admobility.gov.ae/en/vehicle-licensing-services,"S1 | source_id=abu_dhabi_vehicle_licensing_en | authority=Abu Dhabi Mobility / Integrated Transport Centre | title=Driver and Vehicle Licensing Services
excerpt: …using the UAE Pass and an active traffic file in the licensing system. For service centers timings click here Driver Licensing Services Vehicle Licensing Services Most Used Services Vehicle Licensing Services Overview Vehicle licensing services include the issuance, renewal, registration, and transfer of ownership for both…
url: https://admobility.gov.ae/en/vehicle-licensing-services",5,5,5,5,5
m7-037,en,Where is vehicle registration renewal available in Abu Dhabi? Please use the official indexed source.,Abu Dhabi,"According to Abu Dhabi Mobility / Integrated Transport Centre, Vehicle Licensing Services cover issuing, renewing, registering and transferring vehicle ownership, with digital transactions available through the TAMM portal. [S1]",https://admobility.gov.ae/en/vehicle-licensing-services,"S1 | source_id=abu_dhabi_vehicle_licensing_en | authority=Abu Dhabi Mobility / Integrated Transport Centre | title=Driver and Vehicle Licensing Services
excerpt: …using the UAE Pass and an active traffic file in the licensing system. For service centers timings click here Driver Licensing Services Vehicle Licensing Services Most Used Services Vehicle Licensing Services Overview Vehicle licensing services include the issuance, renewal, registration, and transfer of ownership for both…
url: https://admobility.gov.ae/en/vehicle-licensing-services",3,3,3,3,3
